station_id,station_name,page_url,notes,enabled
northern-california-educational-television-associa,"Northern California Educational Television Association, Inc.",https://www.kixe.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Northern California Educational Television Association, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value directory domain | AUTO_DISCOVERY_CANDIDATE score=6 | AUTO_DISCOVERY_CANDIDATE score=2 | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9",0
kvie-inc,"KVIE, Inc.",https://www.kvie.org/about-us/facts-public-info,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KVIE, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=1 | AUTO_DISCOVERY_REJECTED: low-value directory domain | AUTO_DISCOVERY_CANDIDATE score=2 | AUTO_DISCOVERY_CANDIDATE score=3 | AUTO_DISCOVERY_CANDIDATE score=6 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11",0
kqed-inc,KQED Inc.,https://www.kqed.org/about/fcc-public-inspection-files,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KQED Inc. audited financial statements public documents | RESOLVED: KQED financial/FCC page with audited financial statements and CPB AFR docs,1
colorado-public-television-inc,"Colorado Public Television, Inc.",https://www.pbs12.org/about/policies-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Colorado Public Television, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=3 | AUTO_DISCOVERY_REJECTED: low-value directory domain | AUTO_DISCOVERY_CANDIDATE score=2 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL",0
rocky-mountain-public-broadcasting-network-inc,"Rocky Mountain Public Broadcasting Network, Inc.",https://www.rmpbs.org/about/compliance,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Rocky Mountain Public Broadcasting Network, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value directory domain | AUTO_DISCOVERY_CANDIDATE score=6 | VERIFIED_DISCOVERY: Rocky Mountain PBS compliance page with reports",1
connecticut-public-broadcasting-inc,"Connecticut Public Broadcasting, Inc.",https://www.ctpublic.org/about/statements-government-filings,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Connecticut Public Broadcasting, Inc. audited financial statements public documents | RESOLVED: annual financial reports, audited statements, and IRS filings page",1
wjct-inc,"WJCT, Inc.",https://www.wjct.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WJCT, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=5 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=2 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
south-florida-pbs-inc,"South Florida PBS, Inc.",https://www.southfloridapbs.org/about/reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: South Florida PBS, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: South Florida PBS legal entity mapped to station public files page | URL_UPDATED_2026-03-09",1
the-school-board-of-miami-dade-county-florida,"The School Board of Miami-Dade County, Florida",https://www.wlrn.org/audited-financial-statements,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The School Board of Miami-Dade County, Florida audited financial statements public documents | RESOLVED: WLRN licensee entity; station audited financial statements page",1
florida-west-coast-public-broadcasting-inc,"Florida West Coast Public Broadcasting, Inc.",https://www.wedu.org/about/public-records/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Florida West Coast Public Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=8 | AUTO_DISCOVERY_UPGRADED: replaced state-auditor link with WEDU public records page | VERIFIED_DISCOVERY: WEDU public records page",1
guam-educational-telecommunications-corporation,Guam Educational Telecommunications Corporation,https://www.pbsguam.org/public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Guam Educational Telecommunications Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=10 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=13",0
hawaii-public-television-foundation,Hawaii Public Television Foundation,https://www.pbshawaii.org/about/station-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Hawaii Public Television Foundation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=3 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=7 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=13",0
window-to-the-world-communications-inc,"Window to the World Communications, Inc.",https://www.wfmt.com/about-us/financial-information/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Window to the World Communications, Inc. audited financial statements public documents | RESOLVED: financial information page with audited financial statements (WTTW/WFMT)",1
illinois-valley-public-telecommunications-corporat,Illinois Valley Public Telecommunications Corporation,https://www.wtvp.org/about/public-files/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Illinois Valley Public Telecommunications Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | VERIFIED_ALIAS: Illinois Valley PTC legal entity mapped to WTVP public files page,1
wnin-tri-state-public-media-inc,"WNIN Tri-State Public Media, Inc.",https://www.wnin.org/about/other-information/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WNIN Tri-State Public Media, Inc. audited financial statements public documents | RESOLVED: WNIN other information page with financial audit and AFR availability",1
fort-wayne-public-television-inc,"Fort Wayne Public Television, Inc.",https://www.pbsfortwayne.org/home/who-we-are/public-records/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Fort Wayne Public Television, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=5 | VERIFIED_ALIAS: PBS Fort Wayne legal entity mapped to public records page",1
metropolitan-indianapolis-public-media-inc,"Metropolitan Indianapolis Public Media, Inc.",https://www.wfyi.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Metropolitan Indianapolis Public Media, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=6 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=3 | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
northwest-indiana-public-broadcasting-inc,"Northwest Indiana Public Broadcasting, Inc.",https://www.ipm.org/about/reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Northwest Indiana Public Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=6 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=3 | AUTO_DISCOVERY_CANDIDATE score=5 | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
michiana-public-broadcasting-corporation,Michiana Public Broadcasting Corporation,https://www.wnit.org/about/reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Michiana Public Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=3 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL",0
smoky-hills-public-television,Smoky Hills Public Television,https://www.smokyhillspbs.org/home/about-us/public-information/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Smoky Hills Public Television audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=10 | VERIFIED_DISCOVERY: Smoky Hills PBS public information/reports page,1
kansas-public-telecommunications-service-inc,"Kansas Public Telecommunications Service, Inc.",https://www.kpts.org/about/public-file/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Kansas Public Telecommunications Service, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=11",0
kentucky-authority-for-educational-television,Kentucky Authority for Educational Television,https://ket.org/about/reports-and-filings/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Kentucky Authority for Educational Television audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=6 | VERIFIED_DISCOVERY: KET reports and filings page,1
louisiana-educational-television-authority,Louisiana Educational Television Authority,https://www.lpb.org/about/reports/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Louisiana Educational Television Authority audited financial statements public documents | RESOLVED: Louisiana network legal authority; LPB reports page | URL_UPDATED_2026-03-09,1
educational-broadcasting-foundation-inc,"Educational Broadcasting Foundation, Inc.",https://www.wlae.com/financial-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Educational Broadcasting Foundation, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | UNVERIFIED_GUESS: likely station site; confirm financial/public-files page before enabling",1
greater-new-orleans-educational-television-foundat,Greater New Orleans Educational Television Foundation,https://www.wyes.org/about/reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Greater New Orleans Educational Television Foundation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL",0
wgbh-educational-foundation,WGBH Educational Foundation,https://www.wgbh.org/foundation/reports-filings,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WGBH Educational Foundation audited financial statements public documents | RESOLVED: Alias of GBH legal entity; same reports/filings page,1
maryland-public-broadcasting-commission,Maryland Public Broadcasting Commission,https://www.mpt.org/about/publicinspectionfile/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Maryland Public Broadcasting Commission audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Maryland Public Television legal entity mapped to financial reports page | URL_UPDATED_2026-03-09,1
maine-public-broadcasting-corporation,Maine Public Broadcasting Corporation,https://www.mainepublic.org/financial-reports-990-forms,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Maine Public Broadcasting Corporation audited financial statements public documents | RESOLVED: Maine Public financial reports and 990 forms page with audited financials/AFR links,1
detroit-educational-television-foundation,Detroit Educational Television Foundation,https://www.detroitpbs.org/about/resources/reports-policies/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Detroit Educational Television Foundation audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Detroit PBS legal entity mapped to public files page | URL_UPDATED_2026-03-09,1
west-central-minnesota-etv-company,West Central Minnesota ETV Company,https://www.pioneer.org/about/regulatoryreports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: West Central Minnesota ETV Company audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | VERIFIED_MANUAL: Pioneer PBS regulatory reports page with audited financial statement links",1
ksmq-public-service-media-inc,"KSMQ Public Service Media, Inc.",https://www.ksmq.org/about-us/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KSMQ Public Service Media, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11",0
northern-minnesota-public-television-inc,"Northern Minnesota Public Television, Inc.",https://www.lakelandpbs.org/about/public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Northern Minnesota Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Lakeland PBS legal entity mapped to public files page",1
duluth-superior-area-educational-television-corpor,Duluth-Superior Area Educational Television Corporation,https://pbsnorth.org/about/reports,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Duluth-Superior Area Educational Television Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11,0
twin-cities-public-television-inc,"Twin Cities Public Television, Inc.",https://www.tpt.org/public-filings/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Twin Cities Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Twin Cities PBS legal entity mapped to TPT financials page | URL_UPDATED_2026-03-09",1
public-television-19-inc,"Public Television 19, Inc.",https://www.kansascitypbs.org/about/public-file/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Television 19, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Kansas City PBS legal entity mapped to public files page | URL_UPDATED_2026-03-09",1
st-louis-regional-public-media-inc,"St. Louis Regional Public Media, Inc.",https://www.stlpr.org/annual-reports/latest,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: St. Louis Regional Public Media, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: St. Louis Public Radio legal entity mapped to reports/financials page | URL_UPDATED_2026-03-09",1
prairie-public-broadcasting-inc,"Prairie Public Broadcasting, Inc.",https://www.prairiepublic.org/about/compliance-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Prairie Public Broadcasting, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED: compliance reports page with independent auditor reports and CPB AFR links",1
new-hampshire-public-broadcasting,New Hampshire Public Broadcasting,https://nhpbs.org/about/annualreport.asp,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: New Hampshire Public Broadcasting audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: NH PBS legal entity mapped to financial reports page | URL_UPDATED_2026-03-09_PASS2,1
channel-5-public-broadcasting-inc,"Channel 5 Public Broadcasting, Inc.",https://www.pbsreno.org/about/reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Channel 5 Public Broadcasting, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: PBS Reno legal entity mapped to public files page | URL_UPDATED_2026-03-09_PASS2",1
wskg-public-telecommunications-council,WSKG Public Telecommunications Council,https://www.wskg.org/wskg-public-reports-policies,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WSKG Public Telecommunications Council audited financial statements public documents | RESOLVED: public reports/policies page with annual audited financial statements,1
western-new-york-public-broadcasting-association,Western New York Public Broadcasting Association,https://www.wned.org/about/financial-statements/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Western New York Public Broadcasting Association audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WNED Buffalo Toronto Public Media legal entity mapped to financial statements page,1
wnet,WNET,https://www.wnet.org/about/financials/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WNET audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WNET/THIRTEEN mapped to about financials page | URL_UPDATED_2026-03-09_PASS2,1
mountain-lake-public-telecommunications-council,Mountain Lake Public Telecommunications Council,https://mountainlake.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Mountain Lake Public Telecommunications Council audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
wxxi-public-broadcasting-council,WXXI Public Broadcasting Council,https://www.wxxi.org/about-wxxi/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WXXI Public Broadcasting Council audited financial statements public documents | RESOLVED: WXXI about page includes financial statements, 990, and AFR links",1
wmht-educational-telecommunications,WMHT Educational Telecommunications,https://www.wmht.org/publicdocuments/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WMHT Educational Telecommunications audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED: public documents page with audited financial statements and CPB AFR links,1
the-public-broadcasting-council-of-central-new-yor,"The Public Broadcasting Council of Central New York, Inc.",https://www.wcny.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Public Broadcasting Council of Central New York, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain",0
st-lawrence-valley-educational-television-council,"St. Lawrence Valley Educational Television Council, Inc.",https://www.wpbstv.org/about/reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: St. Lawrence Valley Educational Television Council, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11",0
northeastern-educational-television-of-ohio-inc,"Northeastern Educational Television of Ohio, Inc.",https://www.ideastream.org/about/financials-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Northeastern Educational Television of Ohio, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED: Ideastream legal entity alias; same audited financial/AFR reports page",1
the-greater-cincinnati-television-educational-foun,The Greater Cincinnati Television Educational Foundation,https://www.cetconnect.org/about/reports/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Greater Cincinnati Television Educational Foundation audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: CET legal entity mapped to WCET public files page | URL_UPDATED_2026-03-09_PASS2,1
ideastream,Ideastream,https://www.ideastream.org/about/financials-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Ideastream audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED: Boards, Financials & Reports page with annual financials, audited statement, and CPB/FCC files",1
greater-dayton-public-television-inc,"Greater Dayton Public Television, Inc.",https://thinktv.org/about/public-file/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Greater Dayton Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: ThinkTV legal entity mapped to public files page | URL_UPDATED_2026-03-09_PASS2",1
public-broadcasting-foundation-of-northwest-ohio,Public Broadcasting Foundation of Northwest Ohio,https://www.wgte.org/about/financial-information,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Broadcasting Foundation of Northwest Ohio audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WGTE legal entity mapped to public files page | URL_UPDATED_2026-03-09_PASS2,1
southern-oregon-public-television-inc,"Southern Oregon Public Television, Inc.",https://www.sopbs.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Southern Oregon Public Television, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13",0
lehigh-valley-public-telecommunications-corporatio,Lehigh Valley Public Telecommunications Corporation,https://www.lehighvalleypublicmedia.org/about-us/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Lehigh Valley Public Telecommunications Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
public-broadcasting-of-northwest-pennsylvania-inc,"Public Broadcasting of Northwest Pennsylvania, Inc.",https://pennsylvaniapbs.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Broadcasting of Northwest Pennsylvania, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11",0
witf-inc,"WITF, Inc.",https://www.witf.org/about/public-disclosures/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WITF, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED: public disclosures page with audited financial statements and IRS filings",1
